id,week_number,attendance,assignment,marks,comments,user
6949,9,89,95,89,Week 9 good.,696
6950,10,87,74,55,Week 10 good.,696
6951,1,93,67,89,Week 1 good.,697
6952,2,95,95,58,Week 2 good.,697
6953,3,96,97,79,Week 3 good.,697
6954,4,86,95,83,Week 4 good.,697
6955,5,98,92,51,Week 5 good.,697
6956,6,92,89,100,Week 6 good.,697
6957,7,82,73,51,Week 7 good.,697
6958,8,88,93,77,Week 8 good.,697
6959,9,91,69,71,Week 9 good.,697
6960,10,89,77,73,Week 10 good.,697
6961,1,90,77,60,Week 1 good.,698
6962,2,91,80,60,Week 2 good.,698
6963,3,82,90,80,Week 3 good.,698
6964,4,81,66,86,Week 4 good.,698
6965,5,82,66,95,Week 5 good.,698
6966,6,81,85,96,Week 6 good.,698
6967,7,86,93,98,Week 7 good.,698
6968,8,97,67,79,Week 8 good.,698
6969,9,100,67,65,Week 9 good.,698
6970,10,94,98,94,Week 10 good.,698
6971,1,90,71,91,Week 1 good.,699
6972,2,94,73,93,Week 2 good.,699
6973,3,96,65,52,Week 3 good.,699
6974,4,100,74,86,Week 4 good.,699
6975,5,95,85,62,Week 5 good.,699
6976,6,91,89,72,Week 6 good.,699
6977,7,93,90,70,Week 7 good.,699
6978,8,100,64,100,Week 8 good.,699
6979,9,87,83,58,Week 9 good.,699
6980,10,95,92,52,Week 10 good.,699
6981,1,85,63,67,Week 1 good.,700
6982,2,98,63,50,Week 2 good.,700
6983,3,84,85,80,Week 3 good.,700
6984,4,94,71,60,Week 4 good.,700
6985,5,94,99,60,Week 5 good.,700
6986,6,93,96,64,Week 6 good.,700
6987,7,83,93,97,Week 7 good.,700
6988,8,94,67,76,Week 8 good.,700
6989,9,82,72,51,Week 9 good.,700
6990,10,86,67,74,Week 10 good.,700
6991,1,88,80,65,Week 1 good.,701
6992,2,98,82,76,Week 2 good.,701
6993,3,98,63,65,Week 3 good.,701
6994,4,97,96,59,Week 4 good.,701
6995,5,85,70,84,Week 5 good.,701
6996,6,94,71,95,Week 6 good.,701
6997,7,90,72,83,Week 7 good.,701
6998,8,82,65,78,Week 8 good.,701
6999,9,99,91,86,Week 9 good.,701
7000,10,100,71,81,Week 10 good.,701
7001,1,94,67,72,Week 1 good.,702
7002,2,80,66,73,Week 2 good.,702
7003,3,93,61,51,Week 3 good.,702
7004,4,87,78,86,Week 4 good.,702
7005,5,92,92,97,Week 5 good.,702
7006,6,88,70,75,Week 6 good.,702
7007,7,100,98,75,Week 7 good.,702
7008,8,91,85,82,Week 8 good.,702
7009,9,90,64,62,Week 9 good.,702
7010,10,96,74,52,Week 10 good.,702
7011,1,81,60,56,Week 1 good.,703
7012,2,90,75,55,Week 2 good.,703
7013,3,93,77,54,Week 3 good.,703
7014,4,97,62,50,Week 4 good.,703
7015,5,98,70,79,Week 5 good.,703
7016,6,92,73,93,Week 6 good.,703
7017,7,82,80,73,Week 7 good.,703
7018,8,93,84,100,Week 8 good.,703
7019,9,93,93,52,Week 9 good.,703
7020,10,95,77,78,Week 10 good.,703
7021,1,100,62,55,Week 1 good.,704
7022,2,80,91,62,Week 2 good.,704
7023,3,83,60,65,Week 3 good.,704
7024,4,84,72,89,Week 4 good.,704
7025,5,96,81,50,Week 5 good.,704
7026,6,96,73,83,Week 6 good.,704
7027,7,93,78,61,Week 7 good.,704
7028,8,81,74,76,Week 8 good.,704
7029,9,86,81,73,Week 9 good.,704
7030,10,81,70,60,Week 10 good.,704
7031,1,96,77,84,Week 1 good.,705
7032,2,86,96,58,Week 2 good.,705
7033,3,84,82,52,Week 3 good.,705
7034,4,99,66,94,Week 4 good.,705
7035,5,88,67,85,Week 5 good.,705
7036,6,92,69,94,Week 6 good.,705
7037,7,96,67,98,Week 7 good.,705
7038,8,94,71,99,Week 8 good.,705
7039,9,84,72,93,Week 9 good.,705
7040,10,100,78,57,Week 10 good.,705
7041,1,86,99,67,Week 1 good.,706
7042,2,87,91,72,Week 2 good.,706
7043,3,84,77,62,Week 3 good.,706
7044,4,88,98,94,Week 4 good.,706
7045,5,82,68,71,Week 5 good.,706
7046,6,95,70,86,Week 6 good.,706
7047,7,100,63,79,Week 7 good.,706
7048,8,93,72,93,Week 8 good.,706
7049,9,83,61,81,Week 9 good.,706
7050,10,94,96,57,Week 10 good.,706
7051,1,99,69,82,Week 1 good.,707
7052,2,86,65,97,Week 2 good.,707
7053,3,96,87,78,Week 3 good.,707
7054,4,81,97,85,Week 4 good.,707
7055,5,87,86,75,Week 5 good.,707
7056,6,88,72,90,Week 6 good.,707
7057,7,88,94,51,Week 7 good.,707
7058,8,83,87,83,Week 8 good.,707
7059,9,91,60,61,Week 9 good.,707
7060,10,92,78,64,Week 10 good.,707
7061,1,85,69,86,Week 1 good.,708
7062,2,94,96,87,Week 2 good.,708
7063,3,94,86,65,Week 3 good.,708
7064,4,88,98,69,Week 4 good.,708
7065,5,92,96,54,Week 5 good.,708
7066,6,88,91,79,Week 6 good.,708
7067,7,92,94,54,Week 7 good.,708
7068,8,88,79,84,Week 8 good.,708
7069,9,100,96,73,Week 9 good.,708
7070,10,100,91,63,Week 10 good.,708
7071,1,99,78,74,Week 1 good.,709
7072,2,91,64,78,Week 2 good.,709
7073,3,98,77,73,Week 3 good.,709
7074,4,87,96,55,Week 4 good.,709
7075,5,96,90,61,Week 5 good.,709
7076,6,94,90,58,Week 6 good.,709
7077,7,90,70,74,Week 7 good.,709
7078,8,99,91,68,Week 8 good.,709
7079,9,81,80,62,Week 9 good.,709
7080,10,95,85,98,Week 10 good.,709
7081,1,91,75,55,Week 1 good.,710
7082,2,90,91,63,Week 2 good.,710
7083,3,90,86,74,Week 3 good.,710
7084,4,100,63,71,Week 4 good.,710
7085,5,88,73,96,Week 5 good.,710
7086,6,83,85,76,Week 6 good.,710
7087,7,83,92,97,Week 7 good.,710
7088,8,91,100,63,Week 8 good.,710
7089,9,92,90,63,Week 9 good.,710
7090,10,86,69,87,Week 10 good.,710
7091,1,100,92,81,Week 1 good.,711
7092,2,89,62,70,Week 2 good.,711
7093,3,89,71,89,Week 3 good.,711
7094,4,81,69,58,Week 4 good.,711
7095,5,97,100,72,Week 5 good.,711
7096,6,96,63,76,Week 6 good.,711
7097,7,94,95,95,Week 7 good.,711
7098,8,91,70,51,Week 8 good.,711
7099,9,82,90,67,Week 9 good.,711
7100,10,90,96,53,Week 10 good.,711
7101,1,100,80,53,Week 1 good.,712
7102,2,85,64,74,Week 2 good.,712
7103,3,83,91,79,Week 3 good.,712
7104,4,99,78,65,Week 4 good.,712
7105,5,98,94,73,Week 5 good.,712
7106,6,90,79,76,Week 6 good.,712
7107,7,96,93,86,Week 7 good.,712
7108,8,89,63,96,Week 8 good.,712
7109,9,90,90,77,Week 9 good.,712
7110,10,92,87,84,Week 10 good.,712
7111,1,95,98,88,Week 1 good.,713
7112,2,87,71,85,Week 2 good.,713
7113,3,84,94,82,Week 3 good.,713
7114,4,92,88,92,Week 4 good.,713
7115,5,97,72,99,Week 5 good.,713
7116,6,90,67,79,Week 6 good.,713
7117,7,86,86,71,Week 7 good.,713
7118,8,88,98,60,Week 8 good.,713
7119,9,81,65,57,Week 9 good.,713
7120,10,84,78,89,Week 10 good.,713
7121,1,96,87,91,Week 1 good.,714
7122,2,100,66,73,Week 2 good.,714
7123,3,90,74,63,Week 3 good.,714
7124,4,90,93,63,Week 4 good.,714
7125,5,91,99,97,Week 5 good.,714
7126,6,91,71,69,Week 6 good.,714
7127,7,87,83,76,Week 7 good.,714
7128,8,89,67,95,Week 8 good.,714
7129,9,89,66,52,Week 9 good.,714
7130,10,87,97,98,Week 10 good.,714
7131,1,93,76,88,Week 1 good.,715
7132,2,91,68,69,Week 2 good.,715
7133,3,92,95,90,Week 3 good.,715
7134,4,99,97,99,Week 4 good.,715
7135,5,87,73,99,Week 5 good.,715
7136,6,81,77,81,Week 6 good.,715
7137,7,86,77,77,Week 7 good.,715
7138,8,94,80,85,Week 8 good.,715
7139,9,93,81,68,Week 9 good.,715
7140,10,87,66,86,Week 10 good.,715
7141,1,97,66,76,Week 1 good.,716
7142,2,89,90,57,Week 2 good.,716
7143,3,93,66,94,Week 3 good.,716
7144,4,84,73,71,Week 4 good.,716
7145,5,93,82,77,Week 5 good.,716
7146,6,80,64,87,Week 6 good.,716
7147,7,95,96,71,Week 7 good.,716
7148,8,91,77,55,Week 8 good.,716
7149,9,96,82,66,Week 9 good.,716
7150,10,98,70,72,Week 10 good.,716
7151,1,80,71,60,Week 1 good.,717
7152,2,93,73,53,Week 2 good.,717
7153,3,81,93,96,Week 3 good.,717
7154,4,82,100,52,Week 4 good.,717
7155,5,97,67,63,Week 5 good.,717
7156,6,97,71,83,Week 6 good.,717
7157,7,95,97,67,Week 7 good.,717
7158,8,98,94,86,Week 8 good.,717
7159,9,84,64,61,Week 9 good.,717
7160,10,90,67,83,Week 10 good.,717
7161,1,83,85,85,Week 1 good.,718
7162,2,86,73,83,Week 2 good.,718
7163,3,81,66,89,Week 3 good.,718
7164,4,82,74,81,Week 4 good.,718
7165,5,95,95,82,Week 5 good.,718
7166,6,97,80,67,Week 6 good.,718
7167,7,82,63,98,Week 7 good.,718
7168,8,96,87,76,Week 8 good.,718
7169,9,85,67,60,Week 9 good.,718
7170,10,97,65,88,Week 10 good.,718
7171,1,93,60,59,Week 1 good.,719
7172,2,85,97,92,Week 2 good.,719
7173,3,95,83,91,Week 3 good.,719
7174,4,87,64,67,Week 4 good.,719
7175,5,97,75,50,Week 5 good.,719
7176,6,94,61,85,Week 6 good.,719
7177,7,92,89,90,Week 7 good.,719
7178,8,93,61,83,Week 8 good.,719
7179,9,97,99,92,Week 9 good.,719
7180,10,84,69,77,Week 10 good.,719
7181,1,86,73,80,Week 1 good.,720
7182,2,84,73,61,Week 2 good.,720
7183,3,88,69,69,Week 3 good.,720
7184,4,100,89,80,Week 4 good.,720
7185,5,84,95,75,Week 5 good.,720
7186,6,95,90,85,Week 6 good.,720
7187,7,97,61,85,Week 7 good.,720
7188,8,84,93,54,Week 8 good.,720
7189,9,89,93,55,Week 9 good.,720
7190,10,86,85,98,Week 10 good.,720
7191,1,81,62,57,Week 1 good.,721
7192,2,80,93,90,Week 2 good.,721
7193,3,100,64,87,Week 3 good.,721
7194,4,89,93,55,Week 4 good.,721
7195,5,91,74,59,Week 5 good.,721
7196,6,93,69,62,Week 6 good.,721
7197,7,82,65,56,Week 7 good.,721
7198,8,100,69,57,Week 8 good.,721
7199,9,95,64,72,Week 9 good.,721
7200,10,84,88,78,Week 10 good.,721
7201,1,90,64,63,Week 1 good.,722
7202,2,83,84,89,Week 2 good.,722
7203,3,92,67,66,Week 3 good.,722
7204,4,89,68,80,Week 4 good.,722
7205,5,98,92,67,Week 5 good.,722
7206,6,94,81,65,Week 6 good.,722
7207,7,100,88,100,Week 7 good.,722
7208,8,84,69,67,Week 8 good.,722
7209,9,100,93,55,Week 9 good.,722
7210,10,85,67,96,Week 10 good.,722
7211,1,82,65,89,Week 1 good.,723
7212,2,99,63,77,Week 2 good.,723
7213,3,89,100,99,Week 3 good.,723
7214,4,80,64,98,Week 4 good.,723
7215,5,89,78,73,Week 5 good.,723
7216,6,86,86,50,Week 6 good.,723
7217,7,93,77,78,Week 7 good.,723
7218,8,87,80,51,Week 8 good.,723
7219,9,85,72,75,Week 9 good.,723
7220,10,88,84,75,Week 10 good.,723
7221,1,100,74,91,Week 1 good.,724
7222,2,93,87,99,Week 2 good.,724
7223,3,98,65,71,Week 3 good.,724
7224,4,88,74,64,Week 4 good.,724
7225,5,95,83,76,Week 5 good.,724
7226,6,89,85,95,Week 6 good.,724
7227,7,89,73,58,Week 7 good.,724
7228,8,92,74,90,Week 8 good.,724
7229,9,94,95,52,Week 9 good.,724
7230,10,98,97,78,Week 10 good.,724
7231,1,100,87,68,Week 1 good.,725
7232,2,98,76,80,Week 2 good.,725
7233,3,95,88,88,Week 3 good.,725
7234,4,86,66,89,Week 4 good.,725
7235,5,95,76,87,Week 5 good.,725
7236,6,88,93,53,Week 6 good.,725
7237,7,100,85,93,Week 7 good.,725
7238,8,91,97,56,Week 8 good.,725
7239,9,95,94,65,Week 9 good.,725
7240,10,88,78,54,Week 10 good.,725
7241,1,89,95,93,Week 1 good.,726
7242,2,84,73,72,Week 2 good.,726
7243,3,92,68,81,Week 3 good.,726
7244,4,82,66,62,Week 4 good.,726
7245,5,94,77,82,Week 5 good.,726
7246,6,88,70,75,Week 6 good.,726
7247,7,89,68,82,Week 7 good.,726
7248,8,81,73,61,Week 8 good.,726
7249,9,85,64,91,Week 9 good.,726
7250,10,89,88,94,Week 10 good.,726
7251,1,89,71,86,Week 1 good.,727
7252,2,86,98,94,Week 2 good.,727
7253,3,91,90,97,Week 3 good.,727
7254,4,97,61,57,Week 4 good.,727
7255,5,90,73,88,Week 5 good.,727
7256,6,82,93,51,Week 6 good.,727
7257,7,90,82,77,Week 7 good.,727
7258,8,80,86,59,Week 8 good.,727
7259,9,97,90,56,Week 9 good.,727
7260,10,86,78,93,Week 10 good.,727
7261,1,80,75,60,Week 1 good.,728
7262,2,100,67,53,Week 2 good.,728
7263,3,80,68,61,Week 3 good.,728
7264,4,81,87,75,Week 4 good.,728
7265,5,95,80,61,Week 5 good.,728
7266,6,96,94,93,Week 6 good.,728
7267,7,91,100,73,Week 7 good.,728
7268,8,87,62,51,Week 8 good.,728
7269,9,81,84,96,Week 9 good.,728
7270,10,97,92,93,Week 10 good.,728
7271,1,92,92,72,Week 1 good.,729
7272,2,96,69,100,Week 2 good.,729
7273,3,80,78,78,Week 3 good.,729
7274,4,81,80,64,Week 4 good.,729
7275,5,80,68,100,Week 5 good.,729
7276,6,89,78,74,Week 6 good.,729
7277,7,98,71,72,Week 7 good.,729
7278,8,93,68,86,Week 8 good.,729
7279,9,92,97,54,Week 9 good.,729
7280,10,83,94,74,Week 10 good.,729
7281,1,90,65,99,Week 1 good.,730
7282,2,89,71,59,Week 2 good.,730
7283,3,85,71,85,Week 3 good.,730
7284,4,90,81,84,Week 4 good.,730
7285,5,87,79,81,Week 5 good.,730
7286,6,97,77,59,Week 6 good.,730
7287,7,97,68,53,Week 7 good.,730
7288,8,88,84,69,Week 8 good.,730
7289,9,98,88,97,Week 9 good.,730
7290,10,95,97,73,Week 10 good.,730
7291,1,93,66,52,Week 1 good.,731
7292,2,86,82,53,Week 2 good.,731
7293,3,91,99,65,Week 3 good.,731
7294,4,90,97,50,Week 4 good.,731
7295,5,81,67,100,Week 5 good.,731
7296,6,94,62,65,Week 6 good.,731
7297,7,84,76,52,Week 7 good.,731
7298,8,96,66,95,Week 8 good.,731
7299,9,90,74,63,Week 9 good.,731
7300,10,87,86,67,Week 10 good.,731
7301,1,100,75,50,Week 1 good.,732
7302,2,82,69,97,Week 2 good.,732
7303,3,92,78,95,Week 3 good.,732
7304,4,96,73,68,Week 4 good.,732
7305,5,88,68,81,Week 5 good.,732
7306,6,89,62,52,Week 6 good.,732
7307,7,92,79,55,Week 7 good.,732
7308,8,80,83,50,Week 8 good.,732
7309,9,90,62,89,Week 9 good.,732
7310,10,91,69,94,Week 10 good.,732
7311,1,92,79,77,Week 1 good.,733
7312,2,97,88,84,Week 2 good.,733
7313,3,100,75,71,Week 3 good.,733
7314,4,84,84,77,Week 4 good.,733
7315,5,90,95,51,Week 5 good.,733
7316,6,83,83,55,Week 6 good.,733
7317,7,96,81,51,Week 7 good.,733
7318,8,90,96,54,Week 8 good.,733
7319,9,83,67,86,Week 9 good.,733
7320,10,98,99,96,Week 10 good.,733
7321,1,89,80,80,Week 1 good.,734
7322,2,94,88,85,Week 2 good.,734
7323,3,84,82,69,Week 3 good.,734
7324,4,90,77,63,Week 4 good.,734
7325,5,96,61,93,Week 5 good.,734
7326,6,100,60,99,Week 6 good.,734
7327,7,95,60,95,Week 7 good.,734
7328,8,81,75,73,Week 8 good.,734
7329,9,98,84,92,Week 9 good.,734
7330,10,96,61,58,Week 10 good.,734
7331,1,97,87,80,Week 1 good.,735
7332,2,83,90,81,Week 2 good.,735
7333,3,98,96,51,Week 3 good.,735
7334,4,92,75,54,Week 4 good.,735
7335,5,94,75,75,Week 5 good.,735
7336,6,92,92,96,Week 6 good.,735
7337,7,100,62,51,Week 7 good.,735
7338,8,97,70,71,Week 8 good.,735
7339,9,93,65,76,Week 9 good.,735
7340,10,83,88,98,Week 10 good.,735
7341,1,91,72,69,Week 1 good.,736
7342,2,86,88,81,Week 2 good.,736
7343,3,87,85,99,Week 3 good.,736
7344,4,91,77,67,Week 4 good.,736
7345,5,95,94,53,Week 5 good.,736
7346,6,81,62,71,Week 6 good.,736
7347,7,93,96,100,Week 7 good.,736
7348,8,100,88,86,Week 8 good.,736
7349,9,100,91,86,Week 9 good.,736
7350,10,81,64,82,Week 10 good.,736
7351,1,89,61,74,Week 1 good.,737
7352,2,84,91,89,Week 2 good.,737
7353,3,89,86,66,Week 3 good.,737
7354,4,94,81,85,Week 4 good.,737
7355,5,83,97,57,Week 5 good.,737
7356,6,97,72,89,Week 6 good.,737
7357,7,94,86,54,Week 7 good.,737
7358,8,90,76,63,Week 8 good.,737
7359,9,93,82,93,Week 9 good.,737
7360,10,100,84,51,Week 10 good.,737
7361,1,82,90,81,Week 1 good.,738
7362,2,92,86,77,Week 2 good.,738
7363,3,98,87,77,Week 3 good.,738
7364,4,85,68,89,Week 4 good.,738
7365,5,80,73,63,Week 5 good.,738
7366,6,85,98,85,Week 6 good.,738
7367,7,93,74,77,Week 7 good.,738
7368,8,94,100,51,Week 8 good.,738
7369,9,82,82,83,Week 9 good.,738
7370,10,83,76,67,Week 10 good.,738
7371,1,87,73,72,Week 1 good.,739
7372,2,95,75,71,Week 2 good.,739
7373,3,85,77,83,Week 3 good.,739
7374,4,80,77,81,Week 4 good.,739
7375,5,81,98,85,Week 5 good.,739
7376,6,82,82,92,Week 6 good.,739
7377,7,95,67,96,Week 7 good.,739
7378,8,93,64,94,Week 8 good.,739
7379,9,85,69,60,Week 9 good.,739
7380,10,87,77,98,Week 10 good.,739
7381,1,95,97,76,Week 1 good.,740
7382,2,97,74,97,Week 2 good.,740
7383,3,83,89,95,Week 3 good.,740
7384,4,87,77,79,Week 4 good.,740
7385,5,83,78,99,Week 5 good.,740
7386,6,90,83,65,Week 6 good.,740
7387,7,86,95,69,Week 7 good.,740
7388,8,91,66,99,Week 8 good.,740
7389,9,86,60,70,Week 9 good.,740
7390,10,97,75,82,Week 10 good.,740
7391,1,100,75,60,Week 1 good.,741
7392,2,90,62,71,Week 2 good.,741
7393,3,92,93,82,Week 3 good.,741
7394,4,99,88,50,Week 4 good.,741
7395,5,99,86,64,Week 5 good.,741
7396,6,94,76,56,Week 6 good.,741
7397,7,97,80,73,Week 7 good.,741
7398,8,80,77,60,Week 8 good.,741
7399,9,97,87,77,Week 9 good.,741
7400,10,85,85,53,Week 10 good.,741
7401,1,92,71,86,Week 1 good.,742
7402,2,85,78,50,Week 2 good.,742
7403,3,90,95,68,Week 3 good.,742
7404,4,86,98,90,Week 4 good.,742
7405,5,88,62,51,Week 5 good.,742
7406,6,98,89,75,Week 6 good.,742
7407,7,85,60,91,Week 7 good.,742
7408,8,82,60,61,Week 8 good.,742
7409,9,81,87,75,Week 9 good.,742
7410,10,80,70,57,Week 10 good.,742
7411,1,97,69,66,Week 1 good.,743
7412,2,93,100,91,Week 2 good.,743
7413,3,90,67,75,Week 3 good.,743
7414,4,91,93,53,Week 4 good.,743
7415,5,83,93,100,Week 5 good.,743
7416,6,82,62,56,Week 6 good.,743
7417,7,87,61,94,Week 7 good.,743
7418,8,98,99,82,Week 8 good.,743
7419,9,100,81,60,Week 9 good.,743
7420,10,95,67,94,Week 10 good.,743
7421,1,85,85,56,Week 1 good.,744
7422,2,81,75,64,Week 2 good.,744
7423,3,96,81,70,Week 3 good.,744
7424,4,83,90,86,Week 4 good.,744
7425,5,83,89,82,Week 5 good.,744
7426,6,81,62,68,Week 6 good.,744
7427,7,96,82,65,Week 7 good.,744
7428,8,92,93,88,Week 8 good.,744
7429,9,81,100,73,Week 9 good.,744
7430,10,86,94,86,Week 10 good.,744
7431,1,85,89,84,Week 1 good.,745
7432,2,89,71,98,Week 2 good.,745
7433,3,87,61,98,Week 3 good.,745
7434,4,88,73,91,Week 4 good.,745
7435,5,85,86,92,Week 5 good.,745
7436,6,96,77,85,Week 6 good.,745
7437,7,80,89,80,Week 7 good.,745
7438,8,84,98,82,Week 8 good.,745
7439,9,100,85,94,Week 9 good.,745
7440,10,92,63,58,Week 10 good.,745
7441,1,100,65,94,Week 1 good.,746
7442,2,89,92,85,Week 2 good.,746
7443,3,99,94,56,Week 3 good.,746
7444,4,83,93,68,Week 4 good.,746
7445,5,84,82,90,Week 5 good.,746
7446,6,93,85,73,Week 6 good.,746
7447,7,89,88,50,Week 7 good.,746
7448,8,88,89,81,Week 8 good.,746
7449,9,87,93,55,Week 9 good.,746
7450,10,93,85,77,Week 10 good.,746
7451,1,89,60,61,Week 1 good.,747
7452,2,85,91,94,Week 2 good.,747
7453,3,91,68,58,Week 3 good.,747
7454,4,94,69,100,Week 4 good.,747
7455,5,95,80,91,Week 5 good.,747
7456,6,92,92,76,Week 6 good.,747
7457,7,80,98,63,Week 7 good.,747
7458,8,86,66,51,Week 8 good.,747
7459,9,80,80,97,Week 9 good.,747
7460,10,88,94,73,Week 10 good.,747
7461,1,94,65,68,Week 1 good.,748
7462,2,94,95,79,Week 2 good.,748
7463,3,82,63,71,Week 3 good.,748
7464,4,99,80,92,Week 4 good.,748
7465,5,85,72,62,Week 5 good.,748
7466,6,84,98,96,Week 6 good.,748
7467,7,93,98,87,Week 7 good.,748
7468,8,86,66,93,Week 8 good.,748
7469,9,87,97,56,Week 9 good.,748
7470,10,96,61,100,Week 10 good.,748
7471,1,97,86,74,Week 1 good.,749
7472,2,83,95,53,Week 2 good.,749
7473,3,89,76,69,Week 3 good.,749
7474,4,90,61,73,Week 4 good.,749
7475,5,93,89,55,Week 5 good.,749
7476,6,89,100,67,Week 6 good.,749
7477,7,99,70,73,Week 7 good.,749
7478,8,100,75,57,Week 8 good.,749
7479,9,89,100,65,Week 9 good.,749
7480,10,81,70,61,Week 10 good.,749
7481,1,82,73,77,Week 1 good.,750
7482,2,81,94,72,Week 2 good.,750
7483,3,89,72,67,Week 3 good.,750
7484,4,89,74,54,Week 4 good.,750
7485,5,92,61,86,Week 5 good.,750
7486,6,97,91,74,Week 6 good.,750
7487,7,85,97,52,Week 7 good.,750
7488,8,99,66,72,Week 8 good.,750
7489,9,94,96,98,Week 9 good.,750
7490,10,80,61,83,Week 10 good.,750
7491,1,92,72,58,Week 1 good.,751
7492,2,98,63,96,Week 2 good.,751
7493,3,85,92,64,Week 3 good.,751
7494,4,91,85,95,Week 4 good.,751
7495,5,98,88,78,Week 5 good.,751
7496,6,99,86,54,Week 6 good.,751
7497,7,97,94,90,Week 7 good.,751
7498,8,94,99,79,Week 8 good.,751
7499,9,84,73,79,Week 9 good.,751
7500,10,81,64,72,Week 10 good.,751
7501,1,84,80,98,Week 1 good.,752
7502,2,98,72,72,Week 2 good.,752
7503,3,95,68,70,Week 3 good.,752
7504,4,92,93,84,Week 4 good.,752
7505,5,84,98,85,Week 5 good.,752
7506,6,81,85,74,Week 6 good.,752
7507,7,90,64,83,Week 7 good.,752
7508,8,94,82,66,Week 8 good.,752
7509,9,87,81,100,Week 9 good.,752
7510,10,83,70,73,Week 10 good.,752
7511,1,94,96,68,Week 1 good.,753
7512,2,87,92,85,Week 2 good.,753
7513,3,91,84,65,Week 3 good.,753
7514,4,84,83,65,Week 4 good.,753
7515,5,84,62,59,Week 5 good.,753
7516,6,80,64,82,Week 6 good.,753
7517,7,85,87,91,Week 7 good.,753
7518,8,80,85,77,Week 8 good.,753
7519,9,95,88,78,Week 9 good.,753
7520,10,93,86,97,Week 10 good.,753
7521,1,86,75,72,Week 1 good.,754
7522,2,95,87,92,Week 2 good.,754
7523,3,98,91,67,Week 3 good.,754
7524,4,90,97,63,Week 4 good.,754
7525,5,91,89,58,Week 5 good.,754
7526,6,80,86,56,Week 6 good.,754
7527,7,98,78,75,Week 7 good.,754
7528,8,90,84,78,Week 8 good.,754
7529,9,99,96,99,Week 9 good.,754
7530,10,81,77,77,Week 10 good.,754
7531,1,89,61,59,Week 1 good.,755
7532,2,94,70,51,Week 2 good.,755
7533,3,89,63,54,Week 3 good.,755
7534,4,96,88,94,Week 4 good.,755
7535,5,91,88,70,Week 5 good.,755
7536,6,89,97,56,Week 6 good.,755
7537,7,82,61,76,Week 7 good.,755
7538,8,94,90,82,Week 8 good.,755
7539,9,88,63,93,Week 9 good.,755
7540,10,81,66,65,Week 10 good.,755
7541,1,94,91,89,Week 1 good.,756
7542,2,86,77,70,Week 2 good.,756
7543,3,99,87,78,Week 3 good.,756
7544,4,80,60,92,Week 4 good.,756
7545,5,85,100,91,Week 5 good.,756
7546,6,83,63,92,Week 6 good.,756
7547,7,84,80,59,Week 7 good.,756
7548,8,90,63,63,Week 8 good.,756
7549,9,90,94,68,Week 9 good.,756
7550,10,85,89,83,Week 10 good.,756
7551,1,80,93,76,Week 1 good.,757
7552,2,85,86,87,Week 2 good.,757
7553,3,100,93,92,Week 3 good.,757
7554,4,93,62,95,Week 4 good.,757
7555,5,86,66,70,Week 5 good.,757
7556,6,85,62,69,Week 6 good.,757
7557,7,88,92,56,Week 7 good.,757
7558,8,90,64,71,Week 8 good.,757
7559,9,83,68,97,Week 9 good.,757
7560,10,82,76,52,Week 10 good.,757
7561,1,82,63,95,Week 1 good.,758
7562,2,81,64,70,Week 2 good.,758
7563,3,89,100,72,Week 3 good.,758
7564,4,86,62,65,Week 4 good.,758
7565,5,82,91,80,Week 5 good.,758
7566,6,100,65,86,Week 6 good.,758
7567,7,97,73,57,Week 7 good.,758
7568,8,80,72,94,Week 8 good.,758
7569,9,94,63,63,Week 9 good.,758
7570,10,97,69,78,Week 10 good.,758
7571,1,88,94,80,Week 1 good.,759
7572,2,86,69,83,Week 2 good.,759
7573,3,87,71,80,Week 3 good.,759
7574,4,93,90,83,Week 4 good.,759
7575,5,96,91,83,Week 5 good.,759
7576,6,83,88,50,Week 6 good.,759
7577,7,83,94,57,Week 7 good.,759
7578,8,92,63,92,Week 8 good.,759
7579,9,81,85,79,Week 9 good.,759
7580,10,90,71,65,Week 10 good.,759
7581,1,94,86,96,Week 1 good.,760
7582,2,80,84,72,Week 2 good.,760
7583,3,81,93,99,Week 3 good.,760
7584,4,85,76,57,Week 4 good.,760
7585,5,98,70,51,Week 5 good.,760
7586,6,100,78,64,Week 6 good.,760
7587,7,87,62,82,Week 7 good.,760
7588,8,81,91,71,Week 8 good.,760
7589,9,95,95,99,Week 9 good.,760
7590,10,86,98,73,Week 10 good.,760
7591,1,81,96,98,Week 1 good.,761
7592,2,99,75,79,Week 2 good.,761
7593,3,80,87,89,Week 3 good.,761
7594,4,91,66,68,Week 4 good.,761
7595,5,96,65,71,Week 5 good.,761
7596,6,82,96,55,Week 6 good.,761
7597,7,98,63,57,Week 7 good.,761
7598,8,100,81,53,Week 8 good.,761
7599,9,87,64,70,Week 9 good.,761
7600,10,87,73,70,Week 10 good.,761
7601,1,95,94,81,Week 1 good.,762
7602,2,84,76,98,Week 2 good.,762
7603,3,87,64,97,Week 3 good.,762
7604,4,80,60,57,Week 4 good.,762
7605,5,88,72,86,Week 5 good.,762
7606,6,91,84,98,Week 6 good.,762
7607,7,81,93,50,Week 7 good.,762
7608,8,99,91,96,Week 8 good.,762
7609,9,94,96,90,Week 9 good.,762
7610,10,92,85,79,Week 10 good.,762
7611,1,89,98,60,Week 1 good.,763
7612,2,90,77,54,Week 2 good.,763
7613,3,96,65,84,Week 3 good.,763
